age_calBPtop	age_calBPbot	d2HiceVSMOW	ts_anom	ts_anom-err+	ts_anom-err-
-100	0	-146.4	0.242	0.202	0.304
0	100	-149.9	-0.299	-0.248	-0.375
100	200	-148.0	-0.011	-0.009	-0.014
200	300	-149.7	-0.274	-0.228	-0.344
300	400	-150.6	-0.405	-0.337	-0.509
400	500	-152.4	-0.685	-0.569	-0.860
500	600	-154.3	-0.987	-0.820	-1.238
600	700	-150.2	-0.351	-0.292	-0.441
700	800	-153.5	-0.869	-0.722	-1.090
800	900	-150.9	-0.457	-0.380	-0.573
900	1000	-151.2	-0.508	-0.422	-0.637
1000	1100	-151.3	-0.530	-0.440	-0.665
1100	1200	-150.6	-0.421	-0.350	-0.528
1200	1300	-151.3	-0.523	-0.435	-0.657
1300	1400	-151.4	-0.532	-0.442	-0.667
1400	1500	-147.3	0.108	0.090	0.136
1500	1600	-148.5	-0.093	-0.078	-0.117
1600	1700	-152.1	-0.644	-0.535	-0.808
1700	1800	-149.7	-0.279	-0.232	-0.350
1800	1900	-147.9	0.007	0.005	0.008
1900	2000	-148.4	-0.078	-0.065	-0.098
2000	2100	-148.9	-0.151	-0.126	-0.190
2100	2200	-147.7	0.038	0.031	0.047
2200	2300	-146.2	0.260	0.216	0.327
2300	2400	-148.7	-0.128	-0.107	-0.161
2400	2500	-146.2	0.270	0.225	0.339
2500	2600	-146.1	0.279	0.232	0.350
2600	2700	-147.1	0.121	0.101	0.152
2700	2800	-145.8	0.328	0.273	0.412
2800	2900	-146.9	0.147	0.123	0.185
2900	3000	-147.3	0.089	0.074	0.112
3000	3100	-146.3	0.244	0.203	0.306
3100	3200	-144.1	0.584	0.486	0.733
3200	3300	-146.1	0.279	0.232	0.350
3300	3400	-148.2	-0.059	-0.049	-0.073
3400	3500	-146.7	0.178	0.148	0.224
3500	3600	-146.9	0.149	0.124	0.187
3600	3700	-147.2	0.104	0.086	0.130
3700	3800	-145.4	0.373	0.310	0.468
3800	3900	-145.8	0.316	0.262	0.396
3900	4000	-144.9	0.450	0.374	0.565
4000	4100	-146.2	0.253	0.210	0.317
4100	4200	-144.9	0.451	0.375	0.566
4200	4300	-145.7	0.335	0.278	0.420
4300	4400	-146.1	0.271	0.225	0.339
4400	4500	-145.4	0.375	0.312	0.471
4500	4600	-145.3	0.383	0.318	0.480
4600	4700	-146.2	0.240	0.199	0.301
4700	4800	-146.0	0.272	0.226	0.342
4800	4900	-146.3	0.232	0.193	0.291
4900	5000	-147.2	0.079	0.066	0.099
5000	5100	-146.9	0.130	0.108	0.163
5100	5200	-146.4	0.212	0.177	0.267
5200	5300	-145.0	0.426	0.354	0.534
5300	5400	-148.1	-0.061	-0.051	-0.077
5400	5500	-148.0	-0.046	-0.039	-0.058
5500	5600	-147.5	0.023	0.019	0.028
5600	5700	-146.3	0.219	0.182	0.274
5700	5800	-145.1	0.404	0.336	0.507
5800	5900	-147.4	0.039	0.033	0.049
5900	6000	-146.6	0.159	0.132	0.200
6000	6100	-148.6	-0.158	-0.132	-0.199
6100	6200	-146.3	0.195	0.162	0.245
6200	6300	-147.2	0.053	0.044	0.067
6300	6400	-146.7	0.135	0.113	0.170
6400	6500	-146.6	0.156	0.129	0.195
6500	6600	-146.7	0.127	0.106	0.159
6600	6700	-146.1	0.228	0.189	0.286
6700	6800	-147.7	-0.026	-0.021	-0.032
6800	6900	-145.7	0.275	0.229	0.345
6900	7000	-147.2	0.043	0.036	0.054
7000	7100	-147.4	0.004	0.004	0.005
7100	7200	-145.6	0.282	0.234	0.353
7200	7300	-147.1	0.060	0.050	0.075
7300	7400	-147.4	-0.003	-0.002	-0.003
7400	7500	-145.0	0.377	0.314	0.473
7500	7600	-145.6	0.281	0.234	0.353
7600	7700	-147.1	0.040	0.033	0.050
7700	7800	-146.0	0.217	0.180	0.272
7800	7900	-147.7	-0.059	-0.049	-0.073
7900	8000	-146.1	0.194	0.161	0.243
8000	8100	-145.9	0.213	0.177	0.267
8100	8200	-144.8	0.385	0.320	0.483
8200	8300	-145.6	0.265	0.221	0.333
8300	8400	-146.5	0.112	0.093	0.141
8400	8500	-146.4	0.119	0.099	0.149
8500	8600	-146.4	0.130	0.108	0.163
8600	8700	-146.8	0.058	0.048	0.073
8700	8800	-144.6	0.390	0.324	0.490
8800	8900	-144.8	0.362	0.301	0.454
8900	9000	-144.7	0.367	0.305	0.460
9000	9100	-144.7	0.362	0.301	0.454
9100	9200	-146.8	0.029	0.024	0.036
9200	9300	-146.5	0.074	0.061	0.092
9300	9400	-143.2	0.578	0.480	0.725
9400	9500	-143.0	0.605	0.503	0.759
9500	9600	-140.9	0.922	0.766	1.157
9600	9700	-141.8	0.782	0.650	0.982
9700	9800	-140.4	0.995	0.827	1.248
9800	9900	-141.5	0.807	0.671	1.013
9900	10000	-141.5	0.800	0.665	1.004
10000	10100	-143.1	0.552	0.459	0.693
10100	10200	-143.5	0.470	0.390	0.590
10200	10300	-143.8	0.427	0.355	0.536
10300	10400	-140.2	0.974	0.809	1.222
10400	10500	-139.2	1.120	0.931	1.405
10500	10600	-140.6	0.899	0.747	1.128
10600	10700	-141.2	0.795	0.660	0.997
10700	10800	-141.0	0.819	0.680	1.027
10800	10900	-141.1	0.784	0.651	0.984
10900	11000	-140.0	0.943	0.784	1.184
11000	11100	-138.6	1.164	0.968	1.461
11100	11200	-137.9	1.253	1.042	1.573
11200	11300	-136.1	1.517	1.261	1.904
11300	11400	-137.8	1.246	1.036	1.564
11400	11500	-139.6	0.956	0.795	1.200
11500	11600	-137.4	1.284	1.067	1.611
11600	11700	-135.9	1.497	1.244	1.878
11700	11800	-136.9	1.327	1.103	1.665
11800	11900	-134.9	1.627	1.352	2.041
11900	12000	-140.2	0.780	0.649	0.979
12000	12100	-137.1	1.254	1.042	1.573
12100	12200	-138.3	1.056	0.878	1.326
12200	12300	-138.9	0.947	0.787	1.188
12300	12400	-139.4	0.851	0.707	1.068
12400	12500	-139.4	0.841	0.699	1.055
12500	12600	-139.7	0.776	0.645	0.974
12600	12700	-141.7	0.460	0.383	0.578
12700	12800	-143.1	0.224	0.187	0.282
12800	12900	-146.2	-0.276	-0.229	-0.346
12900	13000	-147.5	-0.498	-0.414	-0.626
13000	13100	-147.8	-0.563	-0.468	-0.706
13100	13200	-148.3	-0.654	-0.544	-0.821
13200	13300	-149.8	-0.897	-0.745	-1.125
13300	13400	-149.6	-0.880	-0.732	-1.105
13400	13500	-149.2	-0.830	-0.690	-1.041
13500	13600	-149.1	-0.835	-0.694	-1.048
13600	13700	-146.8	-0.487	-0.405	-0.611
13700	13800	-147.0	-0.522	-0.434	-0.655
13800	13900	-148.0	-0.703	-0.584	-0.882
13900	14000	-148.4	-0.776	-0.645	-0.973
14000	14100	-146.8	-0.542	-0.450	-0.680
14100	14200	-145.7	-0.386	-0.321	-0.485
14200	14300	-144.7	-0.241	-0.201	-0.303
